8.39, 65.13
16.77, 64.84
25.16, 65.13
33.55, 64.98
41.94, 65.13
50.33, 65.28
58.72, 65.42
67.11, 65.42
75.49, 65.28
83.88, 65.13
92.27, 65.13
100.66, 65.13
109.05, 65.13
117.44, 65.13
125.83, 65.13
134.21, 65.13
142.60, 65.28
150.99, 65.42
159.38, 65.42
167.77, 65.42
176.16, 65.72
184.55, 66.01
192.93, 65.86
201.32, 60.97
209.71, 58.69
218.10, 57.00
226.49, 55.45
234.87, 52.91
243.26, 51.95
251.65, 50.97
260.04, 50.48
268.43, 49.82
276.82, 49.66
285.21, 49.00
293.60, 48.66
301.98, 48.66
310.37, 48.33
318.76, 47.99
327.15, 47.99
335.54, 47.49
343.92, 47.32
352.31, 47.15
360.70, 46.81
369.09, 46.98
377.48, 46.81
385.87, 46.64
394.26, 46.64
402.64, 46.47
411.03, 46.64
419.42, 46.47
427.81, 46.47
436.20, 46.30
444.58, 45.96
452.97, 45.96
461.36, 46.13
469.75, 45.78
478.14, 45.96
486.53, 45.78
494.92, 45.61
503.30, 45.61
511.69, 57.77
520.08, 68.34
528.47, 88.59
536.86, 88.45
545.25, 91.78
553.64, 92.95
562.02, 94.57
570.41, 95.31
578.80, 96.05
587.19, 95.75
595.58, 95.01
